SMILES,pKa
CCOC(=O)c1scnc1C,1.69
Nc1nccn2c(S)ncc12,5.66
CCCCCCCCCCCCCCCCCCCCCCN,10.6
Nc1ccc([N+](=O)[O-])cn1,2.78
CCCCNc1cc(C)nc(C)n1,7.41
c1ccc(CNCCNCc2ccccn2)nc1,8.309999999999999
c1ccc2c(c1)ccc1nc[nH]c12,5.27
Cc1ccccc1CN,9.19
O=C(O)CN(CC(=O)O)c1ccc(N(CC(=O)O)CC(=O)O)cc1,2.79
CCSc1nc(C)c2ncn(C)c2n1,2.64
Nc1nncc2ccccc12,6.57
C[C@H](NCc1ccccc1)C(=O)NCC(=O)O,3.28
CC(=O)NC(C1=NCCS1)C(C)C,3.64
CON(C)C,3.65
CC(C)(S)CN,8.07
c1ccc(-c2nc(-c3ccccn3)nc(-c3ccccn3)n2)nc1,3.1
CC(N)C(=O)O,2.64
N=C(NO)C(N)c1ccccc1,7.15
Clc1cccc2ncncc12,3.73
Cc1ccn(C)n1,2.82
CC(C)N(CC[N+]1(C)CCCCC1)c1ccccc1,3.26
OC1=Nc2ncncc2NC1,3.325
Nc1c(C(=O)O)ncn1C1CCCCC1,3.17
CN(C)c1cc(Cl)nc(N(C)C)n1,3.64
Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,3.74
Nc1cc[n+]([O-])cc1,3.59
CNCCC(=N)NO,9.6
Nc1ccc2c(N)c3ccccc3nc2c1,11.46
CNc1ncnc(N(C)C)c1[N+](=O)[O-],2.85
NCC[C@H](N)C(=O)O,8.31
Cc1n[nH]c(C)c1C,4.63
O=C(c1ccccc1)N1CCNCC1,7.75
Nc1cc(N)nc(N2CCCCC2)n1,6.78
CCC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,6.95
CCC(C)(CC)Nc1ccccc1,6.34
NN(Br)c1ccccc1,4.54
OC1NC=Nc2cccc(F)c21,6.9
Cc1cc(NCC(C)C)nc(C)n1,7.49
COc1cccc(CCN)c1,9.89
CC(NN)C(F)(F)C(F)F,5.59
CN(C)c1nc2n(C)ccnc-2c(=O)n1,5.09
CNc1nc(C)ncc1N,7.4
Cc1cnc(N)nc1N,7.69
Cc1c[nH]nc1-c1ccccc1,2.68
COc1ccnc(N)n1,5.51
COC(=O)c1ccc(N)cc1,2.45475
O=C(O)CCNCCO,3.4
NCCNCCc1cccnc1,9.78
C1CNCNC1,9.75
CNc1ncnc2nn(C)nc12,3.72
Oc1ccnc2cccnc12,2.81
CNc1cc(Cl)nc(N(C)C)n1,3.98
O=C(O)[C@@H]1CCCCN1,2.29
Nc1ccc(Br)cc1Br,1.867
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,7.57
COc1ccc(C(=O)N(O)c2ccccc2)cc1,2.05
Cc1c[nH]nc1C,3.91
CCCCCCN(CC[N+]1(C)CCCCC1)c1ccccc1,3.13
Cc1nc[nH]n1,3.28
COc1ccc2cncnc2c1C,3.78
CONC1NC(=O)Nc2nn[nH]c21,1.45
Cc1ncnc2c1ncn2C,3.16
CN(C)CC(=O)NCC(=O)O,3.11
Cc1nc(N)c2ncsc2n1,3.54
Nc1ccc2cc3ccccc3nc2c1,8.0
CN(CC[N+]1(C)CCCCC1)c1ccccc1,2.61
CSc1ccc(N)c(Cl)c1,2.56
COc1ccnnc1,3.66
c1cc2cc[nH]c2cn1,7.93
c1ccc2cnccc2c1,5.3999999999999995
Nc1ccc2nc3ccccc3cc2c1,5.84
Nc1ccc2cc3ccc4ccccc4c3nc2c1,6.68
Cc1nc(=N)n(C)cc1Br,10.28
CN1CCC[C@H]1c1cccnc1,7.966666666666668
CC1CCCC(C)(C)N1,11.21
Nc1ccccc1Cl,2.619166666666666
CC(C)CCOC(=N)N,10.11
Nc1cccc2ncccc12,5.345
CNNC1CCN(C)CC1,8.7
CC(=O)Cc1nc2ncccc2n(C)c1=O,1.58
CCOC(=O)COn1c(C)cc(C)nc1=O,2.85
NC(=O)c1ccncc1,3.61
CC(=O)c1ccncc1,3.51
CC(C)NCC(O)c1cccc(C(F)(F)F)c1,9.3
CNc1cnc2ccccc2n1,4.07
CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(=O)O,3.08
CNCc1ccccc1,9.54
N#Cc1ccncc1,1.86
Cc1ccc2ccccn12,3.85
CCOC(=O)CNN,5.97
CCOC(=O)NCc1nccnc1N,2.8
COc1cccnc1C=O,3.89
NNc1ccc(Cl)c(Cl)c1,4.8
NC1CCc2ccccc21,9.21
CCn1cc(C)cnc1=O,2.75
CSc1ncc(NC=O)c(N)n1,3.66
Nc1cc(Oc2ccccc2)nc(N)n1,4.8
CNCc1ccccn1,8.96
OC1NC=Nc2c1cccc2C(F)(F)F,6.0
Cc1ccn2c1[C@H](O)CC2,9.51
COc1cccc(CN)c1OC,9.41
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.65
CN(C)c1nc(N)c2nccnc2n1,5.34
Nc1ccc(SC(F)(F)F)cc1,2.78
CCC(C)(C)N,10.656666666666666
COc1nccc2ccccc12,3.01
C[N+](C)(C)c1cccc(O)c1,7.982
CC(=O)c1ccc(N)c(N)c1,3.56
CN(C)c1ccnc(=O)n1C,6.02
NNCC(F)(F)F,5.38
