dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
random,500,,10,3,0.5,0.6874109868740089,0.9728342522301243,0.8889774542206161,0.9709170471912587,1.3342964506684794,0.8225444072095022
random,1000,20.0,2,1,0.5,0.6087978807153815,0.834162885921417,0.9183727432454322,0.9740213683775357,1.3214322764621016,0.8259496701647189
random,500,20.0,2,1,0.5,0.6109292525681876,0.8386804435615423,0.9174862152661041,0.9782954677606833,1.3250021334559454,0.8250080039619181
random,200,20.0,2,1,0.5,0.6125137895942814,0.8435118451860495,0.9165327996650832,0.9788436753175096,1.325814564272824,0.8247933439663844
random,200,20.0,2,1,0.3,0.6282882033060238,0.8532223200816247,0.9145999959577036,0.979172254760337,1.329456053967273,0.8238295750730307
random,1000,20.0,5,1,0.5,0.6369969737218523,0.8723478906826667,0.9107284848374559,0.9799338796750323,1.3328540110861171,0.8229278761358405
random,500,30.0,2,3,0.3,0.7107731656651121,0.9909800476294738,0.8847971306088391,0.9809233720556115,1.3485986746174237,0.8187197519080747
random,500,30.0,5,3,0.3,0.7107731656651121,0.9909800476294738,0.8847971306088391,0.9809233720556119,1.3485986746174237,0.8187197519080747
random,500,20.0,2,1,0.3,0.6271610956201096,0.8526313047089029,0.9147182657993473,0.9818547072404693,1.332685042977437,0.822972768742451
random,1000,20.0,2,1,0.3,0.6269789876861586,0.8523503033397968,0.9147744690726447,0.9823560660603348,1.334202785207137,0.8225693205285151
random,200,30.0,2,3,0.3,0.7149549998198024,0.9960049171688746,0.8836258718628259,0.9825937430972191,1.3522204875241413,0.8177447475697149
random,200,30.0,5,3,0.3,0.7149549998198024,0.9960049171688745,0.8836258718628259,0.9825937430972191,1.3522204875241413,0.8177447475697149
random,500,20.0,5,1,0.5,0.63851941455801,0.8746774587160493,0.9102510566236689,0.9828393076933298,1.3364739169244866,0.8219647476367392
random,1000,30.0,10,3,0.5,0.7192800769362716,1.0063491681450374,0.8811960557787457,0.9841631055925033,1.3464977798048685,0.8192841215587539
random,500,30.0,10,3,0.5,0.718553219571183,1.0066700365378147,0.8811202838517048,0.9850164219605296,1.347898086626872,0.8189080507379398
random,200,20.0,5,1,0.5,0.6407397001043252,0.8792115112316419,0.9093181844943152,0.9867736954819392,1.3432321935723688,0.820159618975262
random,1000,30.0,2,3,0.3,0.7106338061156349,0.9908181257999058,0.8848347748287166,0.9868740394181621,1.3524295004781484,0.8176884007636713
random,1000,30.0,5,3,0.3,0.710633806115635,0.9908181257999058,0.8848347748287166,0.9868740394181621,1.3524295004781484,0.8176884007636713
random,200,30.0,10,3,0.5,0.7202656388986408,1.0087079167227162,0.8806384818220003,0.9878341062069289,1.3446334922162688,0.8197841938844173
random,200,20.0,5,1,0.3,0.6548438779181351,0.8901915969154982,0.9070390708016784,0.9895969221121699,1.349624041065469,0.8184439851418446
random,500,20.0,5,1,0.3,0.6567402031799873,0.8914294316654696,0.9067803618382088,0.9908262574309945,1.3466528499167942,0.8192424946870352
random,1000,20.0,5,1,0.3,0.6571626697841029,0.8924176103306963,0.9065735732533697,0.992555388982498,1.3469509569661233,0.819162457651808
random,1000,,10,3,0.3,0.7215701387590984,1.0081661186839792,0.8807666705030236,0.9930761017990912,1.3581547331836406,0.8161415761246062
random,500,,10,3,0.3,0.7218206426802619,1.008633818970264,0.8806560173151448,0.9953448763947291,1.3602335718922076,0.8155783052209655
random,200,20.0,5,3,0.5,0.7587339483197021,1.051429207592815,0.8703138643368907,1.001044646017974,1.3627389542319792,0.8148983155730611
random,200,20.0,2,3,0.5,0.7587339483197021,1.051429207592815,0.8703138643368907,1.0010446460179745,1.3627389542319797,0.814898315573061
random,200,,10,3,0.3,0.7245512244614477,1.0127353712310647,0.8796834327640618,1.0017832507438733,1.3634083967154451,0.8147164093210986
random,500,30.0,10,3,0.3,0.7553866586300888,1.0460423499177232,0.8716393195481403,1.0020584463085265,1.3657631660421021,0.8140758427992106
random,1000,20.0,2,3,0.5,0.7540785387953833,1.046244491232832,0.8715897049148391,1.0044227773158594,1.3627152514540481,0.8149047546433625
random,1000,20.0,5,3,0.5,0.7540785387953833,1.046244491232832,0.8715897049148391,1.0044227773158594,1.3627152514540481,0.8149047546433625
