dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,1000,,5,3,0.3,0.6359511202389643,0.911698753880688,0.9059070049569599,1.304382349679201,1.6934382141953448,0.5941982554488793
scaffold,200,20.0,5,1,0.5,0.5900311218871981,0.8215056805492724,0.9236031042930565,1.3045022562874626,1.6849801698726952,0.5982417660528805
scaffold,1000,20.0,2,1,0.3,0.5741814509011305,0.7986447209257215,0.9277959063484875,1.3046938640664658,1.6643288566203418,0.6080294084232556
scaffold,500,20.0,10,1,0.5,0.6506549679912077,0.8963046842602167,0.9090577065213166,1.3054538399371614,1.6767279711787584,0.602167355524085
scaffold,200,20.0,2,1,0.3,0.5809518748071425,0.8094572139687105,0.9258275941420233,1.3068130922305152,1.6639270289283223,0.608218656628547
scaffold,500,,10,3,0.5,0.6490571787389805,0.9344389740880362,0.9011546011638167,1.3073385242389324,1.7075055987223835,0.5874282656552539
scaffold,1000,30.0,5,3,0.3,0.6636178426565065,0.9432626270499236,0.8992790471942294,1.308350797278589,1.6962903234742226,0.5928301918758994
scaffold,1000,30.0,2,3,0.3,0.6636178426565065,0.9432626270499236,0.8992790471942294,1.3083507972785893,1.6962903234742226,0.5928301918758994
scaffold,1000,,10,3,0.5,0.6472964986991724,0.9321756858837149,0.9016328446930206,1.3085560901242024,1.7051132872439287,0.5885835282501701
scaffold,500,30.0,10,3,0.5,0.6712898271819825,0.9595537984802005,0.8957698823028655,1.3090331176043448,1.7068459908060716,0.5877469562871973
scaffold,200,,10,1,0.3,0.4660862027840629,0.6651688888696268,0.9499137603888674,1.3091635668426218,1.6712213635937012,0.6047761400140264
scaffold,500,,5,3,0.3,0.6356225776237232,0.9124865227271083,0.9057443293940167,1.309388793011886,1.6971612783772694,0.5924119644335948
scaffold,500,,2,3,0.3,0.6356225776237232,0.9124865227271083,0.9057443293940167,1.3093887930118864,1.6971612783772696,0.5924119644335948
scaffold,1000,20.0,5,1,0.3,0.606441536738806,0.842742920131145,0.9196020832350754,1.310140048332173,1.6683971727602267,0.606110786047372
scaffold,200,30.0,5,3,0.3,0.6671385438481197,0.9481456855705082,0.8982335285236943,1.3108293288361519,1.6995870505841828,0.5912459911904442
