dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_mae,val_rmse,val_r2,train_mae,train_rmse,train_r2
random,200,None,2,1,0.5,0.866084609681052,1.2253849443750808,0.8503316020432294,0.3379390554760093,0.4947770551528124,0.9712821066630428
scaffold,1000,None,5,1,0.5,1.263245466326077,1.6370400333971566,0.6207777608348481,0.3588826966176583,0.5358930567182034,0.9674904595403075
combined,500,None,2,1,0.5,1.0694456181419776,1.4368225263294199,0.7331731034163653,0.32136266750786613,0.47612515173730674,0.9738238824046344
